"Wie wird das Wetter morgen um 18:00 Uhr sein";"WEATHER"
"Wird es in 2 Tagen um 4 Uhr Regen geben?";"RAIN"
"Wird es in 4 Tagen Schnee geben";"SNOW"
"Wird es in 2 Tagen Regen geben";"RAIN"
"Was ist mit dem Donner in 5 Tagen in New York";"THUNDER"
"Was ist mit Blitzen in 6 Tagen in Oslo";"THUNDER"
"Was ist mit dem morgigen Regen";"RAIN"
"Können Sie mir sagen, wie hoch die Durchschnittstemperatur in Brooklyn heute ist";"AVERAGE_TEMPERATURE"
"Brauche ich eine warme Jacke";"COLD"
"Wissen Sie, ob es am Montag in Berlin kalt sein wird";"COLD"
"Assistant, bitte sagen Sie mir, ob es in Amsterdam kaltes Wetter geben wird";"COLD"
"Assistant, bitte sagen Sie mir, wie viel Grad Celsius es in München gibt";"TEMPERATURE"
"Hey Assistent, könnten Sie mir bitte sagen, ob das Wetter heiß ist";"WARM"
"Brauche ich heute in Berlin eine Jacke";"COLD"
"Wird es in Amsterdam in 3 Tagen regnen";"RAIN"
"Wissen Sie, ob es morgen in Manhattan hohen Luftdruck geben wird";"AIR PRESSURE"
"Könnten Sie mir bitte sagen, ob die Sonne um 13:00 Uhr in New Orleans scheint";"SUN"
"Assistentin, gibt es morgen um 14:00 Uhr hohen Luftdruck in München";"AIR PRESSURE"
"Assistentin, muss ich mir Sorgen machen wegen Regen in 3 Tagen in Atlanta";"RAIN"
"Assistentin, muss ich warten, bis der Regen fällt";"RAIN"
"Wie wird das Wetter um 18 Uhr in Regensburg sein";"WEATHER"
"Assistentin, bitte sagen Sie mir, ob ich heute einen Regenschirm brauche";"RAIN"
"Assistentin, bitte sagen Sie mir, wie hoch die Durchschnittstemperatur heute um 17 Uhr ist";"AVERAGE_TEMPERATURE"
"Könnten Sie mir bitte sagen, wie die Durchschnittstemperatur in 4 Tagen sein wird";"AVERAGE_TEMPERATURE"
"Hallo! Könnten Sie mir bitte sagen, wie hoch die Durchschnittstemperatur in Berlin ist";"AVERAGE_TEMPERATURE"
"Guten Morgen, könnten Sie mir bitte sagen, wie hoch die Durchschnittstemperatur ist";"AVERAGE_TEMPERATURE"
"Guten Morgen, bitte sagen Sie mir die Temperatur in Barcelona";"TEMPERATURE"
"Hallo, könnten Sie mir bitte sagen, ob das Wetter in 3 Tagen in Atlanta kalt sein wird";"COLD"
"Wie ist die Richtung des Windes in Berlin um 18 Uhr";"WIND_DIRECTION"
"In welche Richtung weht der Wind am Samstag bei 6m";"WIND_DIRECTION"
"Bitte sagen Sie mir, ob der Wind draußen weht";"WIND"
"Assistentin, bitte sagen Sie mir, ob es in New York Wind gibt";"WIND"
"Bitte sagen Sie mir, ob das Wetter kalt sein wird";"COLD"
"Sehr geehrte Assistentin, bitte sagen Sie mir, wie die Temperatur in New York um 18 Uhr ist";"TEMPERATURE"
"Hey Assistentin, bitte sagen Sie mir, ob der Luftdruck in Berlin an diesem Samstag niedrig ist";"AIR PRESSURE"
"Wird es heute um 18.00 Uhr in New York einen Hurrikan geben";"THUNDER"
"Wird es nächste Woche um 12 Uhr in Los Angeles etwas regnen?";"RAIN"
"Wird es auf Zypern sonnig";"SUN"
"Wird es in Frankfurt regnen";"RAIN"
"Wird es in Sydney verschneit sein";"SNOW"
"Gibt es sonniges Wetter in Amsterdam, Assistentin?";"SUN"
"Hey, Assistentin, in welche Richtung weht der Wind heute um 18 Uhr";"WIND_DIRECTION"
"Wird es morgen um Mitternacht Sturm geben?";"THUNDER"
"Glauben Sie, dass es heute Abend regnen wird?";"RAIN"
"Muss ich mir um 18 Uhr in Massachusetts Sorgen über Blitze machen?";"THUNDER"
"Hey Assistent, könnten Sie mir bitte sagen, ob es Schnee geben wird";"SNOW"
"Hallo, wie wird das Wetter um 18 Uhr in Regensburg sein";"WEATHER"
"Assistentin, könnten Sie mir bitte sagen, ob es morgen regnen wird";"RAIN"
"Hallo, könnten Sie bitte sagen, ob der Luftdruck morgen um 18 Uhr in München niedrig sein wird";"AIR PRESSURE"
"Gibt es Regen";"RAIN"
"Wird es morgen Abend in Los Angeles Schnee geben";"SNOW"
"Wie wird der Luftdruck morgen in Frankfurt sein";"AIR PRESSURE"
"Könnten Sie mir bitte sagen, ob es in 3 Tagen Regen vom Himmel fallen wird";"RAIN"
"Wo kann ich Rosen kaufen?";"NONE"
"Assistant, bitte sag mir wo die nächste Pizzaria ist";"NONE"
"Hallo, was mache ich gegen ein Wespennest?";"NONE"
"Wo kann ich mir ein neues Auto kaufen";"NONE"
"Wann ist das nächste mal ein Feiertag";"NONE"
"Wo kann ich mir eine Gitarre kaufen";"NONE"
"Bitte sag mir, wie ich zum Aldi komme";"NONE"
"Ich hätte gerne neue Kopfhörer, wo kann ich diese kaufen?";"NONE"
"Ich bin gerade in Ulm. Wo ist hier der nächste Zahnarzt?";"NONE"
"Sag mir bitte, wie der Aktienkurs von Apple ist.";"NONE"
"Hallo, bitte sag mir wo ich guten Kaffee kaufen kann";"NONE"
"Wie ist das Wetter in Paris?";"WEATHER"
"Wie ist das Wetter in London?";"WEATHER"
"Wie ist die Windrichtung in Sheffield?";"WIND_DIRECTION"
"Wie wird das Wetter morgen in München?";"WEATHER"
"Wie ist das Wetter in Regensburg";"WEATHER"
"Regnet es gerade in Freiburg";"RAIN"
"Wie wird das Wetter in 5 Tagen?";"WEATHER"
"Wie wird das Wetter in den nächsten 5 Tagen?";"WEATHER"
"Wie wird das Wetter nächste Woche Samstag?";"WEATHER"
"Wie wird das Wetter am Samstag?";"WEATHER"
"Wie wird das Wetter heute Mittag?";"WEATHER"
"Wie wird das Wetter heute Mittag in Regensburg?";"WEATHER"
"Wie wird das Wetter heute um 18 Uhr in Regensburg?";"WEATHER"
"Wie wird das Wetter heute um 20 Uhr in Regensburg?";"WEATHER"
"Wird es morgen regnen";"RAIN"
"Wird es morgen nebeln";"FOG"
"wie viel grad wird es morgen um 16 uhr haben";"TEMPERATURE"
"Sag mir bitte, wie viel Grad Celsius es morgen maximal geben wird";"MAX_TEMPERATURE"
"Hallo! Wie viel Grad wird es mindestens geben um 17 Uhr am Sonntag";"MIN_TEMPERATURE"
"Hallo! Wie viel Grad wird es höchstens geben in Miami gegen abend";"MIN_TEMPERATURE"
